DateKey	Date	Day	Weekno	Month	Monthshort	Monthno	Quarter	Year
20200330	3/30/2020	Monday	14	March	Mar	3	1	2020
20200331	3/31/2020	Tuesday	14	March	Mar	3	1	2020
20200401	4/1/2020	Wednesday	14	April	Apr	4	2	2020
20200402	4/2/2020	Thursday	14	April	Apr	4	2	2020
20200403	4/3/2020	Friday	14	April	Apr	4	2	2020
20200404	4/4/2020	Saturday	14	April	Apr	4	2	2020
20200405	4/5/2020	Sunday	15	April	Apr	4	2	2020
20200406	4/6/2020	Monday	15	April	Apr	4	2	2020
20200407	4/7/2020	Tuesday	15	April	Apr	4	2	2020
20200408	4/8/2020	Wednesday	15	April	Apr	4	2	2020
20200409	4/9/2020	Thursday	15	April	Apr	4	2	2020
20200410	4/10/2020	Friday	15	April	Apr	4	2	2020
20200411	4/11/2020	Saturday	15	April	Apr	4	2	2020
20200412	4/12/2020	Sunday	16	April	Apr	4	2	2020
20200413	4/13/2020	Monday	16	April	Apr	4	2	2020
20200414	4/14/2020	Tuesday	16	April	Apr	4	2	2020
20200415	4/15/2020	Wednesday	16	April	Apr	4	2	2020
20200416	4/16/2020	Thursday	16	April	Apr	4	2	2020
20200417	4/17/2020	Friday	16	April	Apr	4	2	2020
20200418	4/18/2020	Saturday	16	April	Apr	4	2	2020
20200419	4/19/2020	Sunday	17	April	Apr	4	2	2020
20200420	4/20/2020	Monday	17	April	Apr	4	2	2020
20200421	4/21/2020	Tuesday	17	April	Apr	4	2	2020
20200422	4/22/2020	Wednesday	17	April	Apr	4	2	2020
20200423	4/23/2020	Thursday	17	April	Apr	4	2	2020
20200424	4/24/2020	Friday	17	April	Apr	4	2	2020
20200425	4/25/2020	Saturday	17	April	Apr	4	2	2020
20200426	4/26/2020	Sunday	18	April	Apr	4	2	2020
20200427	4/27/2020	Monday	18	April	Apr	4	2	2020
20200428	4/28/2020	Tuesday	18	April	Apr	4	2	2020
20200429	4/29/2020	Wednesday	18	April	Apr	4	2	2020
20200430	4/30/2020	Thursday	18	April	Apr	4	2	2020
20200501	5/1/2020	Friday	18	May	May	5	2	2020
20200502	5/2/2020	Saturday	18	May	May	5	2	2020
20200503	5/3/2020	Sunday	19	May	May	5	2	2020
20200504	5/4/2020	Monday	19	May	May	5	2	2020
20200505	5/5/2020	Tuesday	19	May	May	5	2	2020
20200506	5/6/2020	Wednesday	19	May	May	5	2	2020
20200507	5/7/2020	Thursday	19	May	May	5	2	2020
20200508	5/8/2020	Friday	19	May	May	5	2	2020
20200509	5/9/2020	Saturday	19	May	May	5	2	2020
20200510	5/10/2020	Sunday	20	May	May	5	2	2020
20200511	5/11/2020	Monday	20	May	May	5	2	2020
20200512	5/12/2020	Tuesday	20	May	May	5	2	2020
20200513	5/13/2020	Wednesday	20	May	May	5	2	2020
20200514	5/14/2020	Thursday	20	May	May	5	2	2020
20200515	5/15/2020	Friday	20	May	May	5	2	2020
20200516	5/16/2020	Saturday	20	May	May	5	2	2020
20200517	5/17/2020	Sunday	21	May	May	5	2	2020
20200518	5/18/2020	Monday	21	May	May	5	2	2020
20200519	5/19/2020	Tuesday	21	May	May	5	2	2020
20200520	5/20/2020	Wednesday	21	May	May	5	2	2020
20200521	5/21/2020	Thursday	21	May	May	5	2	2020
20200522	5/22/2020	Friday	21	May	May	5	2	2020
20200523	5/23/2020	Saturday	21	May	May	5	2	2020
20200524	5/24/2020	Sunday	22	May	May	5	2	2020
20200525	5/25/2020	Monday	22	May	May	5	2	2020
20200526	5/26/2020	Tuesday	22	May	May	5	2	2020
20200527	5/27/2020	Wednesday	22	May	May	5	2	2020
20200528	5/28/2020	Thursday	22	May	May	5	2	2020
20200529	5/29/2020	Friday	22	May	May	5	2	2020
20200530	5/30/2020	Saturday	22	May	May	5	2	2020
20200531	5/31/2020	Sunday	23	May	May	5	2	2020
20200601	6/1/2020	Monday	23	June	Jun	6	2	2020
20200602	6/2/2020	Tuesday	23	June	Jun	6	2	2020
20200603	6/3/2020	Wednesday	23	June	Jun	6	2	2020
20200604	6/4/2020	Thursday	23	June	Jun	6	2	2020
20200605	6/5/2020	Friday	23	June	Jun	6	2	2020
20200606	6/6/2020	Saturday	23	June	Jun	6	2	2020
20200607	6/7/2020	Sunday	24	June	Jun	6	2	2020
20200608	6/8/2020	Monday	24	June	Jun	6	2	2020
20200609	6/9/2020	Tuesday	24	June	Jun	6	2	2020
20200610	6/10/2020	Wednesday	24	June	Jun	6	2	2020
20200611	6/11/2020	Thursday	24	June	Jun	6	2	2020
20200612	6/12/2020	Friday	24	June	Jun	6	2	2020
20200613	6/13/2020	Saturday	24	June	Jun	6	2	2020
20200614	6/14/2020	Sunday	25	June	Jun	6	2	2020
20200615	6/15/2020	Monday	25	June	Jun	6	2	2020
20200616	6/16/2020	Tuesday	25	June	Jun	6	2	2020
20200617	6/17/2020	Wednesday	25	June	Jun	6	2	2020
20200618	6/18/2020	Thursday	25	June	Jun	6	2	2020
20200619	6/19/2020	Friday	25	June	Jun	6	2	2020
20200620	6/20/2020	Saturday	25	June	Jun	6	2	2020
20200621	6/21/2020	Sunday	26	June	Jun	6	2	2020
20200622	6/22/2020	Monday	26	June	Jun	6	2	2020
20200623	6/23/2020	Tuesday	26	June	Jun	6	2	2020
20200624	6/24/2020	Wednesday	26	June	Jun	6	2	2020
20200625	6/25/2020	Thursday	26	June	Jun	6	2	2020
20200626	6/26/2020	Friday	26	June	Jun	6	2	2020
20200627	6/27/2020	Saturday	26	June	Jun	6	2	2020
20200628	6/28/2020	Sunday	27	June	Jun	6	2	2020
20200629	6/29/2020	Monday	27	June	Jun	6	2	2020
20200630	6/30/2020	Tuesday	27	June	Jun	6	2	2020
20200701	7/1/2020	Wednesday	27	July	Jul	7	3	2020
20200702	7/2/2020	Thursday	27	July	Jul	7	3	2020
20200703	7/3/2020	Friday	27	July	Jul	7	3	2020
20200704	7/4/2020	Saturday	27	July	Jul	7	3	2020
20200705	7/5/2020	Sunday	28	July	Jul	7	3	2020
20200706	7/6/2020	Monday	28	July	Jul	7	3	2020
20200707	7/7/2020	Tuesday	28	July	Jul	7	3	2020
20200708	7/8/2020	Wednesday	28	July	Jul	7	3	2020
20200709	7/9/2020	Thursday	28	July	Jul	7	3	2020
20200710	7/10/2020	Friday	28	July	Jul	7	3	2020
20200711	7/11/2020	Saturday	28	July	Jul	7	3	2020
20200712	7/12/2020	Sunday	29	July	Jul	7	3	2020
20200713	7/13/2020	Monday	29	July	Jul	7	3	2020
20200714	7/14/2020	Tuesday	29	July	Jul	7	3	2020
20200715	7/15/2020	Wednesday	29	July	Jul	7	3	2020
20200716	7/16/2020	Thursday	29	July	Jul	7	3	2020
20200717	7/17/2020	Friday	29	July	Jul	7	3	2020
20200718	7/18/2020	Saturday	29	July	Jul	7	3	2020
20200719	7/19/2020	Sunday	30	July	Jul	7	3	2020
20200720	7/20/2020	Monday	30	July	Jul	7	3	2020
20200721	7/21/2020	Tuesday	30	July	Jul	7	3	2020
20200722	7/22/2020	Wednesday	30	July	Jul	7	3	2020
20200723	7/23/2020	Thursday	30	July	Jul	7	3	2020
20200724	7/24/2020	Friday	30	July	Jul	7	3	2020
20200725	7/25/2020	Saturday	30	July	Jul	7	3	2020
20200726	7/26/2020	Sunday	31	July	Jul	7	3	2020
20200727	7/27/2020	Monday	31	July	Jul	7	3	2020
20200728	7/28/2020	Tuesday	31	July	Jul	7	3	2020
20200729	7/29/2020	Wednesday	31	July	Jul	7	3	2020
20200730	7/30/2020	Thursday	31	July	Jul	7	3	2020
20200731	7/31/2020	Friday	31	July	Jul	7	3	2020
20200801	8/1/2020	Saturday	31	August	Aug	8	3	2020
20200802	8/2/2020	Sunday	32	August	Aug	8	3	2020
20200803	8/3/2020	Monday	32	August	Aug	8	3	2020
20200804	8/4/2020	Tuesday	32	August	Aug	8	3	2020
20200805	8/5/2020	Wednesday	32	August	Aug	8	3	2020
20200806	8/6/2020	Thursday	32	August	Aug	8	3	2020
20200807	8/7/2020	Friday	32	August	Aug	8	3	2020
20200808	8/8/2020	Saturday	32	August	Aug	8	3	2020
20200809	8/9/2020	Sunday	33	August	Aug	8	3	2020
20200810	8/10/2020	Monday	33	August	Aug	8	3	2020
20200811	8/11/2020	Tuesday	33	August	Aug	8	3	2020
20200812	8/12/2020	Wednesday	33	August	Aug	8	3	2020
20200813	8/13/2020	Thursday	33	August	Aug	8	3	2020
20200814	8/14/2020	Friday	33	August	Aug	8	3	2020
20200815	8/15/2020	Saturday	33	August	Aug	8	3	2020
20200816	8/16/2020	Sunday	34	August	Aug	8	3	2020
20200817	8/17/2020	Monday	34	August	Aug	8	3	2020
20200818	8/18/2020	Tuesday	34	August	Aug	8	3	2020
20200819	8/19/2020	Wednesday	34	August	Aug	8	3	2020
20200820	8/20/2020	Thursday	34	August	Aug	8	3	2020
